Código,Codel old,Descripción,Unidad de Medida,Cuenta contable,Estado
30001,,BOTAS DE GOMA; ACCESORIO CON FORRO AFELPADO; COLOR NEGRO; NUMERO 40; USO INDUSTRIAL; PUNTERA METALICA; CAÑA ALTA,PAR,CALZADOS,ACTIVO
30002,,CESTO PARA PAPELES; CIRCULAR; MATERIAL CUERPO METALICO; MEDIDA DIAMETRO 25 cm; SIN TAPA,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30003,,BARBIJO; MATERIAL PLASTICO; TIPO CONICO DESCARTABLE,PIEZA,PRODUCTOS DE MINERALES NO METALICOS Y PLASTICOS,ACTIVO
30004,,SOBRE DE PAPEL; BLANCO; 100 grs.; TAMAÑO CARTA; TIPO DE PAPEL BOND,PIEZA,PAPEL,ACTIVO
30005,,PAPEL PARA FAX; ANCHO 216 MM X 30 M; LONGITUD ROLLO 30 m,PIEZA,PAPEL,ACTIVO
30006,,CERA PARA PISOS DE MADERA; ENVASE SACHET; CONTENIDO 1 ltrs.; ESTADO CREMOSA,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30007,,LLANTA PARA AUTOMOTOR; MEDIDAS 265/70R16; 10PR; TODO TERRENO,PIEZA,LLANTAS Y NEUMATICOS,ACTIVO
30008,,LAVANDINA; ENVASE BIDON; CONTENIDO 5 ltr,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30009,,BOLSA DE RESIDUOS; COLOR OBSCURO; DIMENSION 60 X 90 cms.; ESPESOR 60 micrón; PRESENTACION PAQUETE X 10 UNIDADES,PAQUETE,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30010,,BOLSA DE RESIDUOS; COLOR OBSCURO; DIMENSION 50 X 85 cms.; ESPESOR 60 micrón; PRESENTACION PAQUETE X 10 UNIDADES,PAQUETE,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30011,,BOLSA DE RESIDUOS; COLOR TRANSPARENTE; DIMENSION 45 X 60 cms.; ESPESOR 20 micrón; PRESENTACION PAQUETE X 50 UNIDADES,PAQUETE,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30012,,CLIPS PARA PAPELES; MATERIAL METAL; NUMERO 4; PRESENTACION CAJA DE 100 unidad,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30013,,CLIPS PARA PAPELES; MATERIAL ENCOBRADO; NUMERO 50 mm; PRESENTACION CAJA DE 100 unidad,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30014,,CLIPS PARA PAPELES; MATERIAL ENCOBRADO; NUMERO 77 mm; PRESENTACION CAJA DE 100 unidad,CAJA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30015,,BORRADOR; TIPO MIGA DE PAN; USO LAPIZ; PRESENTACION 1 pza,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30016,,BORRADOR; TIPO DOS COLORES; USO TINTA/LAPIZ; PRESENTACION 1 pza,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30017,,TUBO DE MINAS; DIAMETRO 0.5 mm; NUMERO 2H,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30018,,TUBO DE MINAS; DIAMETRO 0.5 mm; NUMERO HB,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30019,,TUBO DE MINAS; DIAMETRO 0.7 mm; NUMERO HB,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30020,,REGLA GRADUADA; LONGITUD 30 cms.; MATERIAL ACRILICO; TIPO PLANA,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30021,,REGLA GRADUADA; LONGITUD 50 cm; MATERIAL PLASTICO; TIPO PLANA,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30022,,REGLA GRADUADA; LONGITUD 30 cm; MATERIAL METAL; TIPO PLANA,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30023,,ETIQUETA AUTOADHESIVA; TIPO PERMANENTE; MEDIDA 26X16X100 MM; COLOR BLANCO; PRESENTACION ROLLO,ROLLO,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30024,,TABLERO DE CAMPO; MATERIAL PLASTICO; TAMAÑO OFICIO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30025,,DISKETTE PARA DATOS; CAPACIDAD 1.44 MB; TIPO 2HD; TAMAÑO 3.5 pgs.; PRESENTACION 10 X Caja,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30026,,TRAPO DE PISO; COLOR GRIS; DIMENSION 60 X 60 cm,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30027,,TRAPO DE PISO; COLOR BLANCO; DIMENSION 50 X 60 cm,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30028,,FRANELA PARA LIMPIEZA; PRESENTACION POR PIEZA; MEDIDAS 0.50 X 0.50 mts.,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30029,,GUANTES PARA LIMPIEZA; MATERIAL LATEX; TAMAÑO MEDIANO,PAR,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30030,,ESCOBILLON; ANCHO 0.45 mts.; MATERIAL CERDA; N° DE HILERAS 5,PIEZA,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
30031,,PORTA ROLLO PARA CINTA ADHESIVA; MATERIAL METAL; ROLLO CHICO,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30032,,LAPIZ; COLOR NEGRO; NUMERO HB; ADITAMENTO CON BORRADOR,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
30033,,LAPIZ; COLOR ROJO; NUMERO COPIATIVO; ADITAMENTO NO TIENE,PIEZA,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
