Código,Descripción,Estado
32100,PAPEL,ACTIVO
32200,PRODUCTOS DE ARTES GRÁFICAS,ACTIVO
33100,"HILADOS, TELAS, FIBRAS Y ALGODON",ACTIVO
33200,CONFECCIONES TEXTILES ,ACTIVO
33300,PRENDAS DE VESTIR,ACTIVO
33400,CALZADOS,ACTIVO
34110,"COMBUSTIBLES, LUBRICANTES Y DERIVADOS PARA CONSUMO",ACTIVO
34200,PRODUCTOS QUIMICOS Y FARMACEUTICOS,ACTIVO
34300,LLANTAS Y NEUMATICOS,ACTIVO
34400,PRODUCTOS DE CUERO Y CAUCHO,ACTIVO
34500,PRODUCTOS DE MINERALES NO METALICOS Y PLASTICOS,ACTIVO
34600,PRODUCTOS METALICOS,ACTIVO
34800,HERRAMIENTAS MENORES,ACTIVO
39100,MATERIAL DE LIMPIEZA E HIGENE,ACTIVO
39400,INSTRUMENTAL MENOR MEDICO - QUIRURGICO,ACTIVO
39500,UTILES DE ESCRITORIO Y OFICINA,ACTIVO
39700,UTILES Y MATERIALES ELECTRICOS,ACTIVO
39800,OTROS REPUESTOS Y ACCESORIOS,ACTIVO
39990,OTROS MATERIALES Y SUMINISTROS,ACTIVO
