route_id,day,client_id,latitude,longitude,client
2,1,101,-16.5000,-68.1500,Tienda Doña Rosa
2,1,102,-16.5050,-68.1450,Mini-market El Sol
2,1,103,-16.5100,-68.1400,Bodega Lupita
2,1,104,-16.5070,-68.1525,Almacén San Pedro
2,1,105,-16.4980,-68.1455,Tienda Esquina
2,2,101,-16.5000,-68.1500,Tienda Doña Rosa
2,2,106,-16.5160,-68.1380,Despensa Las Flores
2,2,107,-16.5120,-68.1320,Mini-market Plaza
2,2,108,-16.5040,-68.1290,Bodega La Paz
3,1,201,-16.4900,-68.1300,Comercial Norte
3,1,202,-16.4850,-68.1250,Tienda Andina
3,1,203,-16.4820,-68.1180,Mercado del Sur
